id,district_name,yield
1,Anantapur,1.0
2,Kadapa,1.21
3,Kurnool,1.35
4,Palnadu,1.2
5,Changlang,2.3
6,East kameng,2.31
7,East siang,2.65
8,Lohit,2.12
9,Lower dibang valley,2.02
10,Lower siang,2.61
11,Namsai,2.1
12,Pakke kessang,2.36
13,Papum pare,2.45
14,Tawang,1.78
15,Tirap,1.59
16,West kameng,1.7
17,Baksa,1.31
18,Barpeta,1.41
19,Biswanath,1.09
20,Bongaigaon,0.91
21,Cachar,1.3
22,Charaideo,1.28
23,Chirang,1.44
24,Darrang,1.42
25,Dhemaji,1.31
26,Dhubri,1.65
27,Dibrugarh,1.31
28,Goalpara,1.23
29,Golaghat,0.89
30,Hojai,1.54
31,Jorhat,1.32
32,Kamrup,1.13
33,Kamrup metro,1.5
34,Karbi anglong,1.75
35,Karimganj,1.33
36,Kokrajhar,1.9
37,Lakhimpur,1.31
38,Majuli,1.5
39,Marigaon,1.24
40,Nagaon,1.27
41,Nalbari,1.24
42,Sivasagar,1.33
43,Sonitpur,1.11
44,South salmara mancachar,1.48
45,Tinsukia,1.31
46,Udalguri,1.27
47,West karbi anglong,0.84
48,Araria,2.73
49,Arwal,2.61
50,Aurangabad,2.36
51,Banka,2.55
52,Begusarai,3.84
53,Bhagalpur,2.85
54,Bhojpur,3.12
55,Buxar,3.37
56,Darbhanga,2.26
57,Gaya,2.74
58,Gopalganj,2.91
59,Jamui,1.98
60,Jehanabad,3.17
61,Kaimur (bhabua),3.26
62,Katihar,2.93
63,Khagaria,3.96
64,Kishanganj,2.24
65,Lakhisarai,3.51
66,Madhepura,3.4
67,Madhubani,2.02
68,Munger,3.13
69,Muzaffarpur,2.2
70,Nalanda,3.44
71,Nawada,3.0
72,Pashchim champaran,3.03
73,Patna,3.52
74,Purbi champaran,2.46
75,Purnia,3.08
76,Rohtas,3.42
77,Saharsa,2.05
78,Samastipur,3.65
79,Saran,3.62
80,Sheikhpura,2.06
81,Sheohar,3.27
82,Sitamarhi,2.64
83,Siwan,3.05
84,Supaul,2.5
85,Vaishali,3.11
86,Chandigarh,5.0
87,Balod,1.83
88,Baloda bazar,1.75
89,Balrampur,1.44
90,Bastar,1.77
91,Bemetara,1.66
92,Bilaspur,1.65
93,Dantewada,2.0
94,Dhamtari,2.08
95,Durg,1.32
96,Gariyaband,1.69
97,Gaurella-pendra-marwahi,1.87
98,Janjgir-champa,2.02
99,Jashpur,1.63
100,Kabirdham,1.62
101,Kanker,1.82
102,Khairgarh chhuikhadan gandai,1.69
103,Kondagaon,1.8
104,Korba,1.37
105,Korea,1.33
106,Mahasamund,1.56
107,Manendragarh chirimiri bharatpur,1.44
108,Mohla manpur ambagarh chouki,1.39
109,Mungeli,2.02
110,Narayanpur,3.25
111,Raigarh,1.94
112,Raipur,1.95
113,Rajnandgaon,1.61
114,Sakti,2.02
115,Sarangarh bilaigarh,1.74
116,Surajpur,1.52
117,Surguja,2.1
118,Ahmadabad,2.35
119,Amreli,3.74
120,Anand,3.07
121,Aravalli,2.88
122,Banas kantha,3.07
123,Bharuch,2.0
124,Bhavnagar,3.08
125,Botad,3.66
126,Chhotaudepur,3.29
127,Dang,3.23
128,Devbhumi dwarka,4.03
129,Dohad,2.7
130,Gandhinagar,3.67
131,Gir somnath,4.04
132,Jamnagar,4.25
133,Junagadh,4.0
134,Kachchh,2.71
135,Kheda,3.05
136,Mahesana,3.17
137,Mahisagar,3.02
138,Morbi,3.51
139,Narmada,2.76
140,Navsari,3.21
141,Panch mahals,2.29
142,Patan,2.78
143,Porbandar,3.86
144,Rajkot,3.85
145,Sabar kantha,3.23
146,Surat,2.57
147,Surendranagar,3.0
148,Tapi,3.01
149,Vadodara,2.83
150,Ambala,4.64
151,Bhiwani,4.1
152,Charki dadri,3.66
